num,namespace,pass,reasons
1,LC.P0001,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
2,LC.P0002,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
3,LC.P0003,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
4,LC.P0004,False,"no closed test vector about sol (vec*)"
5,LC.P0005,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
7,LC.P0007,True,""
9,LC.P0009,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
14,LC.P0014,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
17,LC.P0017,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
20,LC.P0020,True,""
21,LC.P0021,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
23,LC.P0023,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
24,LC.P0024,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
26,LC.P0026,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
27,LC.P0027,False,"no closed test vector about sol (vec*)"
34,LC.P0034,False,"no closed test vector about sol (vec*)"
35,LC.P0035,False,"no closed test vector about sol (vec*)"
36,LC.P0036,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
37,LC.P0037,False,"no closed test vector about sol (vec*)"
38,LC.P0038,False,"no closed test vector about sol (vec*)"
39,LC.P0039,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
41,LC.P0041,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
42,LC.P0042,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
43,LC.P0043,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
44,LC.P0044,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
45,LC.P0045,False,"no closed test vector about sol (vec*)"
46,LC.P0046,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
49,LC.P0049,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
50,LC.P0050,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
51,LC.P0051,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
53,LC.P0053,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
55,LC.P0055,False,"no closed test vector about sol (vec*)"
56,LC.P0056,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
57,LC.P0057,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
58,LC.P0058,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
61,LC.P0061,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
62,LC.P0062,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
63,LC.P0063,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
64,LC.P0064,False,"no sol; cls statement does not reference sol; no corr; no closed test vector about sol (vec*)"
65,LC.P0065,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
66,LC.P0066,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
67,LC.P0067,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
68,LC.P0068,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
69,LC.P0069,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
70,LC.P0070,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
71,LC.P0071,True,""
72,LC.P0072,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
74,LC.P0074,True,""
75,LC.P0075,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
76,LC.P0076,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
78,LC.P0078,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
79,LC.P0079,False,"no closed test vector about sol (vec*)"
81,LC.P0081,False,"no closed test vector about sol (vec*)"
84,LC.P0084,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
85,LC.P0085,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
88,LC.P0088,True,""
90,LC.P0090,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
91,LC.P0091,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
92,LC.P0092,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
94,LC.P0094,True,""
97,LC.P0097,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
98,LC.P0098,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
101,LC.P0101,True,""
102,LC.P0102,False,"no closed test vector about sol (vec*)"
104,LC.P0104,True,""
105,LC.P0105,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
108,LC.P0108,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
109,LC.P0109,True,""
110,LC.P0110,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
111,LC.P0111,True,""
112,LC.P0112,False,"no closed test vector about sol (vec*)"
113,LC.P0113,True,""
115,LC.P0115,False,"cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
118,LC.P0118,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
120,LC.P0120,True,""
122,LC.P0122,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
124,LC.P0124,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
125,LC.P0125,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
126,LC.P0126,False,"no closed test vector about sol (vec*)"
127,LC.P0127,False,"no closed test vector about sol (vec*)"
129,LC.P0129,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
130,LC.P0130,False,"no closed test vector about sol (vec*)"
133,LC.P0133,False,"no closed test vector about sol (vec*)"
134,LC.P0134,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
135,LC.P0135,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
136,LC.P0136,False,"no closed test vector about sol (vec*)"
138,LC.P0138,False,"no closed test vector about sol (vec*)"
139,LC.P0139,True,""
140,LC.P0140,False,"cls statement does not reference sol; no closed test vector about sol (vec*)"
142,LC.P0142,True,""
148,LC.P0148,False,"no sol; cls statement does not reference sol; corr statement does not reference sol; no closed test vector about sol (vec*)"
